'id_car_generation','id_car_model','name','year_begin','year_end','date_create','date_update','id_car_type'
'5894','862','1 generation [restyling]','2006','2008','1416980849','1508606140','1'
'5895','867','Y50 [restyling]','2006','2010','1416980855','1463242156','1'
'5991','753','9 generation [restyling]','2015','2018','1419462797','1516474715','1'
'5993','753','7 generation [restyling]','2005','2008','1419462798','1524511554','1'
'5994','763','3 generation [restyling]','2009','2012','1419462818','1463241550','1'
'5995','763','2 generation [restyling]','2004','2006','1419462818','1497997707','1'
'5996','763','1 generation [restyling]','1998','2001','1419462818','1497997707','1'
'5997','778','2 generation [restyling]','2011','2015','1419462836','1479515403','1'
'5998','779','5 generation [restyling]','2010','2012','1419462838','1463241665','1'
'5999','779','4 generation [restyling]','2005','2007','1419462838','1463241666','1'
'6002','780','4 generation [restyling]','2004','2006','1419462840','1463241671','1'
'6003','780','3 generation [restyling]','1995','2001','1419462840','1463241673','1'
'6004','782','2 generation [restyling]','2011','2015','1419462843','1479515416','1'
'6005','782','1 generation [restyling]','2004','2008','1419462843','1492642175','1'
'6006','783','4 generation [restyling]','2008','2010','1419462845','1463241687','1'
'6007','784','5 generation [restyling]','2010','2014','1419462846','1479515424','1'
'6008','794','2 generation [restyling]','2011','2015','1419462858','1526898386','1'
'6009','794','1 generation [restyling]','2006','2008','1419462858','1463241744','1'
'6014','804','2 generation [restyling]','2009','2014','1419462871','1479515475','1'
'6015','804','1 generation [restyling]','2003','2006','1419462871','1526898404','1'
'6195','761','8 generation [restyling]','2007','2012','1422314487','1497997675','1'
'6196','761','7 generation [restyling]','2003','2005','1422314488','1463241514','1'
'6614','763','4 generation [restyling]','2014','2018','1432143235','1516474816','1'
'6615','770','1 generation [2 restyling]','2008','2010','1432143247','1463241608','1'
'6616','777','2 generation','2015','2018','1432143259','1519169616','1'
'6617','777','1 generation','1998','2001','1432143259','1463241632','1'
'6671','777','1 generation [restyling]','2001','2006','1433617993','1463241631','1'
'6672','794','3 generation','2015','2018','1433618021','1526898385','1'
'6800','2112','Y51','2013','2015','1439908951','1479519094','1'
'6801','2112','Y51 [restyling]','2014','2018','1439908951','1516477567','1'
'6982','791','1 generation [restyling]','1999','2002','1452951473','1463241737','1'
'6983','791','1 generation','1996','1999','1452951473','1463241737','1'
'6987','870','CV36','2013','2015','1452951802','1479515713','1'
'7233','753','1 generation',NULL,NULL,'1461879141','1463241465','1'
'7234','765','1 generation','2010','2018','1461879146','1516474823','1'
'7236','773','1 generation [restyling]','2005','2008','1461879147','1463241616','1'
'7237','775','1 generation','2004','2009','1461879148','1463241627','1'
'7238','799','1 generation','1996','2002','1461879151','1463241756','1'
'7242','865','1 generation','1992','1997','1461879187','1463242152','1'
'7598','19570','1 generation','1992','1995','1461881953','1463268964','1'
'8082','754','1 generation [restyling]','2008','2010','1461885732','1463241469','1'
'8083','755','CE','1993','1997','1461885732','1463241471','1'
'8084','755','CB','1989','1993','1461885732','1463241472','1'
'8086','756','1 generation','1999','2003','1461885733','1463241473','1'
'8088','758','1 generation','1998','2002','1461885734','1463241484','1'
'8094','761','4 generation','1987','1996','1461885744','1463241530','1'
'8095','761','3 generation',NULL,NULL,'1461885744','1463241534','1'
'8096','761','1 generation',NULL,NULL,'1461885746','1463241541','1'
'8098','766','2 generation','2007','2010','1461885749','1463241560','1'
'8099','769','1 generation [restyling]','2006','2009','1461885751','1463241605','1'
'8100','771','1 generation [restyling]','2006','2008','1461885753','1463241613','1'
'8101','771','1 generation','2004','2006','1461885753','1463241614','1'
'8102','776','1 generation [restyling]','2011','2014','1461885785','1479515395','1'
'8105','784','2 generation','1997','1998','1461885795','1463241700','1'
'8108','787','1 generation [restyling]','2004','2008','1461885797','1463241709','1'
'8109','787','1 generation','2001','2004','1461885797','1463241710','1'
'8110','788','2 generation','2001','2005','1461885798','1463241711','1'
'8112','797','1 generation','1993','1997','1461885805','1463241753','1'
'8113','798','1 generation [restyling]','2008','2014','1461885806','1479515462','1'
'8114','798','1 generation','2006','2008','1461885806','1463241755','1'
'8115','800','AP2','2004','2009','1461885807','1463241782','1'
'8116','800','AP1','1999','2003','1461885808','1463241784','1'
'8117','802','1 generation','1994','2000','1461885809','1526898397','1'
'8118','805','1 generation','2002','2006','1461885845','1463241801','1'
'8119','806','1 generation','1988','1996','1461885845','1463241802','1'
'8120','807','1 generation','1997','2002','1461885846','1463241804','1'
'8121','808','HM1','1999','2001','1461885846','1479515481','1'
'8122','809','CB5','1989','1995','1461885847','1463241807','1'
'8123','810','1 generation','1998','2002','1461885847','1463241843','1'
'8124','811','5 generation',NULL,NULL,'1461885848','1463241844','1'
'8161','861','1 generation','2007','2013','1461885929','1463242106','1'
'8162','866','1 generation','2012','2014','1461885965','1463242153','1'
'8163','869','1 generation','2013','2018','1461885968','1516475083','1'
'8164','873','L50 [restyling]','2016','2018','1461885971','1516475102','1'
'8166','874','S51','2013','2018','1461885972','1516475104','1'
'8956','19343','1 generation','2016','2018','1461889025','1516478133','1'
'9004','19516','1 generation','2016','2018','1461889213','1516478163','1'
'9048','753','8 generation [restyling]','2011','2015','1462057631','1524511548','1'
'9049','753','8 generation','2007','2011','1462057631','1511167755','1'
'9050','753','6 generation','1997','2002','1462057632','1524511560','1'
'9051','753','5 generation','1993','1996','1462057632','1524511566','1'
'9052','753','4 generation','1989','1994','1462057632','1524511569','1'
'9053','753','2 generation',NULL,NULL,'1462057632','1463241461','1'
'9054','783','1 generation','1985','1991','1462057639','1526898356','1'
'9348','753','6 generation [restyling]','2000','2002','1463241442','1524511557','1'
'9349','753','5 generation [restyling]','1996','1998','1463241449',NULL,'1'
'9350','754','1 generation','2005','2008','1463241469',NULL,'1'
'9353','761','8 generation [2 restyling]','2010','2012','1463241501','1497997675','1'
'9354','766','1 generation','1993','1998','1463241561',NULL,'1'
'9355','769','1 generation','2004','2006','1463241606',NULL,'1'
'9356','771','1 generation [2 restyling]','2008','2013','1463241612',NULL,'1'
'9357','773','1 generation','2002','2005','1463241617',NULL,'1'
'9358','774','2 generation [restyling]','2010','2018','1463241620','1516474837','1'
'9359','776','1 generation','2008','2011','1463241629',NULL,'1'
'9360','783','3 generation [restyling]','1998','2004','1463241688',NULL,'1'
'9361','784','4 generation [restyling]','2006','2008','1463241696',NULL,'1'
'9362','784','3 generation [restyling]','2001','2003','1463241698',NULL,'1'
'9363','784','1 generation','1971','1974','1463241701',NULL,'1'
'9364','785','1 generation [restyling]','1998','2000','1463241706',NULL,'1'
'9365','785','1 generation','1996','1998','1463241706',NULL,'1'
'9366','788','1 generation','1992','1999','1463241712',NULL,'1'
'9367','790','5 generation','2013','2018','1463241723','1516474889','1'
'9368','790','4 generation [restyling]','2011','2018','1463241725','1516474890','1'
'9369','790','3 generation [restyling]','2007','2010','1463241729',NULL,'1'
'9370','790','2 generation [restyling]','2001','2004','1463241731',NULL,'1'
'9371','803','4 generation [restyling]','2012','2015','1463241790','1479515470','1'
'9372','803','3 generation [restyling]','2007','2009','1463241792',NULL,'1'
'9412','864','3 generation [restyling]','2005','2006','1463242147',NULL,'1'
'9413','864','3 generation','2002','2005','1463242148',NULL,'1'
'9414','864','2 generation','1999','2002','1463242150',NULL,'1'
'9415','864','1 generation','1991','1996','1463242150',NULL,'1'
'9418','871','2 generation','2004','2010','1463242168',NULL,'1'
'9419','871','1 generation [restyling]','2001','2003','1463242169',NULL,'1'
'9420','871','1 generation','1997','2001','1463242169',NULL,'1'
'9421','872','J50','2013','2015','1463242171','1479515717','1'
'9422','873','L50','2013','2016','1463242172',NULL,'1'
'10230','20160','1 generation [restyling]','2013','2015','1463309704','1479520925','1'
'10231','20160','1 generation','2011','2013','1463309705',NULL,'1'
'10232','20162','1 generation [restyling]','2005','2008','1463309708',NULL,'1'
'10233','20162','1 generation','2002','2005','1463309709',NULL,'1'
'10283','20214','2 generation [restyling]','2001','2004','1463310018','1508613448','1'
'10284','20214','1 generation','1995','1999','1463310019','1508613449','1'
'10713','872','J50 [restyling]','2016','2018','1468624605','1516475088','1'
'10776','763','5 generation','2016','2018','1488119909','1516474815','1'
'10810','761','10 generation','2015','2018','1497997667','1516474763','1'
'10934','20214','2 generation','1999','2002','1508613449',NULL,'1'
'10950','875','Z62 [2 restyling]','2017','2018','1511168291','1516475105','1'
'10975','869','1 generation [restyling]','2017','2018','1513779149','1516475082','1'
'10976','872','2 generation','2017','2018','1513779154','1516475088','1'
'107979','22490','1 generation [restyling]','2013','2018','1529809330',NULL,'1'
'107980','22490','1 generation','2013','2018','1529809331',NULL,'1'
