'id_car_option','name','id_parent','date_create','date_update','id_car_type'
'102','Rear window defogger','11','1464484033','1518975463','1'
'107','The RDS system','17','1464484033','1518975463','1'
'110','Central locking','23','1464484033','1518975463','1'
'129','Halogen headlights','43','1464484033','1518975464','1'
'130','Front fog lights','43','1464484033','1518975464','1'
'136','Spare wheel full-size','135','1464484033','1518975464','1'
'143','USB port','17','1464484034','1518975464','1'
'149','The chrome handles of opening doors','38','1464484034','1518975464','1'
'156','Power external rear view mirrors heated','1','1464484037','1518975299','1'
'159','Connection for external audio device','17','1464484037','1518975466','1'
'162','Assistance with emergency braking','32','1464484037','1518975466','1'
'171','Leather-trimmed steering wheel','1','1464484039','1518975466','1'
'176','Pockets on the front seatbacks','46','1464484040','1518975466','1'
'178','Leather steering wheel','1','1464484043','1518975466','1'
'180','Traction control system (TCS)','32','1464484043','1518975466','1'
'181','Spare tire small','135','1464484043','1518975289','1'
'185','Belts with load limiter','26','1464484055','1518975466','1'
'194','Air conditioning','11','1464484058','1518975466','1'
'196','4 speakers','17','1464484058','1518975466','1'
'197','Alarm','23','1464484058','1518975467','1'
'200','Front seat belts with height adjustment','26','1464484058','1518975467','1'
'202','Electronic brake distribution (EBD)','32','1464484058','1518975467','1'
'212','Front airbags','26','1464484059','1518975464','1'
'213','Lock the rear doors (protection of children)','26','1464484059','1518975465','1'
'215','Fabric upholstery','46','1464484060','1518975465','1'
'216','Armrest, front','46','1464484060','1518975465','1'
'218','The belt tensioners','26','1464484060','1518975465','1'
'225','Airbag for driver''s knees','26','1464484063','1518975466','1'
'226','Curtain airbags','26','1464484063','1518975466','1'
'228','Panoramic roof','38','1464484063','1518975466','1'
'232','Light sensor','43','1464484063','1518975466','1'
'235','Leather gearshift knob','46','1464484063','1518975466','1'
'236','Automatically shading internal rear view mirror','46','1464484063','1518975289','1'
'245','Airbag curtain type front','26','1464484068','1518975290','1'
'249','Multi-function steering wheel','1','1464484080','1518975289','1'
'250','Automatically darken themselves, folding mirrors, electrically','1','1464484080','1518975692','1'
'252','Memory settings driver seat','1','1464484080','1518975467','1'
'253','Climate control dual-zone','11','1464484080','1518975467','1'
'254','Heated rear seats','11','1464484080','1518975467','1'
'255','Navigation system with hard drive','17','1464484080','1518975467','1'
'256','Subwoofer','17','1464484080','1518975467','1'
'257','8 speakers','17','1464484080','1518975467','1'
'258','Multi-function color display','17','1464484080','1518975467','1'
'260','The passenger airbag with deactivation function','26','1464484080','1518975467','1'
'261','Airbag side rear','26','1464484080','1518975467','1'
'262','Parking sensors front','32','1464484080','1518975467','1'
'264','Control system tire pressure','32','1464484080','1518975467','1'
'265','Adjusting suspension stiffness','32','1464484080','1518975467','1'
'266','Adaptive road lighting','43','1464484080','1518975467','1'
'318','Door sills','38','1464484083','1518975467','1'
'322','Center armrest, rear','46','1464484083','1518975467','1'
'336','Electrohydraulical helm','1','1464484085','1518975299','1'
'339','Front and rear head restraints','26','1464484085','1518975467','1'
'345','Interior rear view mirror with a mechanical dimming','46','1464484085','1518975467','1'
'347','Aluminum lining on the pedals','46','1464484085','1518975468','1'
'400','Air ducts for the rear passengers','11','1464484119','1518975469','1'
'407','Alarm on unfastened belts','26','1464484119','1518975457','1'
'409','Rear view camera','32','1464484119','1518975469','1'
'420','Led daytime running lights','43','1464484120','1518975469','1'
'455','Parking sensors front and rear','32','1464484121','1518975469','1'
'464','Help system at start on lifting','32','1464484143','1518975469','1'
'472','Leather upholstery','46','1464484143','1518975470','1'
'492','Luggage net','1','1464484163','1518975470','1'
'493','Luggage compartment cover','1','1464484163','1518975470','1'
'494','Power folding mirrors','1','1464484163','1518975470','1'
'498','Active front seat head restraints','1','1464484163','1518975470','1'
'499','Central locking with remote control','1','1464484163','1518975472','1'
'501','Climate control three-zone','11','1464484163','1518975299','1'
'512','Side airbags','26','1464484163','1518975473','1'
'513','Airbag curtain type rear','26','1464484163','1518975290','1'
'530','Highlighting toilet mirrors in the sun visors','43','1464484163','1518975473','1'
'539','Compact spare tire','135','1464484163','1518975470','1'
'544','Power adjustable rear view mirrors','1','1464484164','1518975299','1'
'549','Anti-theft system','23','1464484164','1518975470','1'
'552','Automatic door locking when driving','26','1464484164','1518975470','1'
'555','Traction control system','32','1464484164','1518975470','1'
'557','Alloy wheels 16"','38','1464484165','1518975470','1'
'569','Folding rear seats','1','1464484166','1518975470','1'
'589','Bumpers in body color','38','1464484166','1518975473','1'
'613','Electric power steering','1','1464484170','1518975474','1'
'614','Power Windows','1','1464484170','1518975474','1'
'620','Chrome grille','38','1464484170','1518975474','1'
'625','The glove box','46','1464484171','1518975478','1'
'627','Coasters','46','1464484171','1518975478','1'
'636','Moldings in body color','38','1464484172','1518975478','1'
'648','Antenna','17','1464484178','1518975478','1'
'656','Insulated glazing','38','1464484179','1518975299','1'
'663','Sun blinds in the rear doors','46','1464484179','1518975473','1'
'664','Storage compartment in front armrest','46','1464484179','1518975473','1'
'698','Front and rear mudguards','38','1464484184','1518975478','1'
'722','Reading lamps cards','43','1464484195','1518975479','1'
'753','Rear headrests','26','1464484212','1518975478','1'
'754','Navigation system','17','1464484214','1518975478','1'
'755','DVD players','17','1464484214','1518975478','1'
'756','Electric sunroof','38','1464484214','1518975478','1'
'759','Rear wiper','1','1464484216','1518975478','1'
'764','Hard case for sunglasses','1','1464484217','1518975479','1'
'775','Sensors','32','1464484217','1518975479','1'
'780','Mudguards','38','1464484217','1518975479','1'
'855','Adjustment of a lumbar emphasis of the driver''s seat','1','1464484229','1518975480','1'
'861','Trip computer','17','1464484229','1518975480','1'
'863','AM/FM stereo','17','1464484229','1518975480','1'
'876','Alloy wheels 17"','38','1464484230','1518975480','1'
'886','The control of the cruise control on the steering wheel','1','1464484230','1518975480','1'
'887','A liquid level sensor in the windshield washer reservoir','1','1464484231','1518975480','1'
'890','Heated steering wheel','11','1464484231','1518975481','1'
'896','Active front seat head restraints','26','1464484231','1518975481','1'
'898','Side mirrors with repeaters','38','1464484231','1518975299','1'
'901','Automatic correction of the angle of inclination of headlights','43','1464484231','1518975481','1'
'927','Electric tailgate','1','1464484334','1518975482','1'
'934','Heated zone of peace wipers','11','1464484334','1518975482','1'
'945','Rear spoiler','38','1464484334','1518975483','1'
'957','Memory settings side mirrors','1','1464484335','1518975483','1'
'958','Memory settings steering column','1','1464484335','1518975483','1'
'960','Support iPod','17','1464484335','1518975483','1'
'966','Adjusting rear seats tilt','1','1464484336','1518975481','1'
'968','Comfort access without a key','23','1464484336','1518975481','1'
'973','Lights in the doors','43','1464484337','1518975481','1'
'977','Steering column adjustment for length','1','1464484345','1518975481','1'
'978','Sports leather steering wheel','1','1464484345','1518975481','1'
'979','Management system to maintain a constant speed on the wheel','1','1464484345','1518975481','1'
'980','A smart key with push button ignition','1','1464484345','1518975481','1'
'981','Retractable headlight washers','1','1464484345','1518975481','1'
'982','Windshield wipers with automatic variable interval depending on the speed of the vehicle','1','1464484345','1518975481','1'
'983','Open to 80 degree angle of the rear side door (easy getting in and out of the car)','1','1464484345','1518975481','1'
'984','Continued for 45 seconds after stop of the engine drive power Windows doors and sunroof','1','1464484345','1518975482','1'
'985','The device of remote opening of trunk lid in case of emergency','1','1464484345','1518975482','1'
'986','The handle on the inside of the rear door','1','1464484345','1518975482','1'
'987','The folding system is all Windows with one click','1','1464484345','1518975482','1'
'988','Automatic synchronization of the steering wheel and side mirrors when adjusting the driver seat','1','1464484345','1518975482','1'
'989','Front seats with electric adjustment, adjustable in 8 directions','1','1464484345','1518975482','1'
'990','The Keeper is on the two seat of the driver','1','1464484345','1518975482','1'
'991','Buttons lifting/lowering in the trunk and the raise button on the centre console','1','1464484345','1518975482','1'
'992','Automatically folding rear seats','1','1464484345','1518975482','1'
'993','Heated rear window with timer','11','1464484345','1518975482','1'
'994','Heated front seats with a new design buttons','11','1464484345','1518975482','1'
'995','Ventilation holes in the rear and air heater on the floor','11','1464484345','1518975482','1'
'996','System Plasma Cluster (ionizer and air purifier)','11','1464484345','1518975482','1'
'997','Automatic recirculation','11','1464484345','1518975484','1'
'998','Central display with trip computer on the dashboard','17','1464484345','1518975484','1'
'999','Tachometer','17','1464484345','1518975484','1'
'1000','Auto adjust audio volume depending on vehicle speed','17','1464484345','1518975484','1'
'1001','Controller Infiniti Jog Dial','17','1464484345','1518975484','1'
'1002','Dual-channel audio Hi-Fi 08IT Bose 2.0','17','1464484346','1518975484','1'
'1003','Parking display','17','1464484346','1518975484','1'
'1004','Mounted on the windshield antenna','17','1464484346','1518975484','1'
'1005','AM/FM, RDS','17','1464484346','1518975484','1'
'1006','Hard drive','17','1464484346','1518975484','1'
'1007','Support MP3 and WMA formats','17','1464484346','1518975484','1'
'1008','10 speakers','17','1464484346','1518975484','1'
'1009','7 display for audio, climate control and reminders maintenance','17','1464484346','1518975484','1'
'1010','Alarm system with immobilizer Infiniti car with an encoded chip mate, mounted into the electronic key','23','1464484346','1518975645','1'
'1011','Auto-lock Central locking when driving','23','1464484346','1518975484','1'
'1012','Electric door locks','23','1464484346','1518975484','1'
'1013','Mode selection only unlock the driver''s door or all doors','23','1464484346','1518975299','1'
'1014','Memory settings associated with individual remote controls system “Intelligent key”','23','1464484346','1518975299','1'
'1015','The system is improved airbags Infiniti (AABS)','26','1464484346','1518975484','1'
'1016','Two modal front airbags with sensors for seatbelt, and a detection sensor passenger presence','26','1464484346','1518975931','1'
'1017','Additional side airbags installed in the front seats for protection in side collisions','26','1464484346','1518975484','1'
'1018','Installed in the ceiling interior extra inflatable curtain to protect front and outer rear passengers','26','1464484346','1518975484','1'
'1019','"Break" the propeller shaft','26','1464484346','1518975695','1'
'1020','Three rear seat headrests','26','1464484346','1518975484','1'
'1021','Belts with ELR/ALR (driver only ELR)','26','1464484346','1518975487','1'
'1022','3-point seat belts','26','1464484346','1518975487','1'
'1023','Sliding block brake pedal','26','1464484346','1518975487','1'
'1024','4-channel anti-lock braking system (ABS)','32','1464484346','1518975487','1'
'1025','Dynamic stability car (VDC)','32','1464484346','1518975487','1'
'1026','Help system at emergency braking (BA)','32','1464484346','1518975487','1'
'1027','Warning buzzer forgotten to lock the keys','32','1464484346','1518975487','1'
'1028','System air pressure in tires (TPMS)','32','1464484346','1518975487','1'
'1029','The indicator light closure warning tailgate','32','1464484346','1518975487','1'
'1030','Warning buzzer if you leave the headlights on','32','1464484346','1518975459','1'
'1031','Side moldings in body color','38','1464484346','1518975487','1'
'1032','Paint, resisting minor scratches','38','1464484346','1518975931','1'
'1033','Dual chrome tips on the exhaust pipe','38','1464484346','1518975487','1'
'1034','Aluminum lining on the pedals with backlight','38','1464484346','1518975487','1'
'1035','Decorative chrome grille and door handles','38','1464484346','1518975487','1'
'1036','Aluminum hood with gas shock absorbers and double lock','38','1464484346','1518975487','1'
'1037','Glass with a UV filter (wind - with green shading)','38','1464484346','1518975487','1'
'1038','Tinted Windows rear doors and trunk','38','1464484346','1518975487','1'
'1039','Alloy wheels 18"','38','1464484346','1518975487','1'
'1040','Aluminum roof rails of roof rack','38','1464484346','1518975487','1'
'1041','Rear fog light','43','1464484346','1518975487','1'
'1042','Adaptive front lighting system (AFS)','43','1464484346','1518975487','1'
'1043','Welcome Lightning system ("intuitive light") illuminates the vehicle when approaching the car','43','1464484346','1518975931','1'
'1044','Dual top canopy for reading road maps front, reading lights, rear','43','1464484346','1518975487','1'
'1045','Lighting when boarding a vehicle with off delay','43','1464484346','1518975487','1'
'1046','Illuminated ceiling illumination side mirrors','43','1464484346','1518975487','1'
'1047','Optronic instruments with white-violet illumination','43','1464484346','1518975931','1'
'1048','Trim inserts in maple wood','46','1464484346','1518975487','1'
'1049','Fold-down center armrest rear seat','46','1464484346','1518975487','1'
'1050','Analog clock Infiniti','46','1464484346','1518975487','1'
'1051','Dual front and rear cupholders','46','1464484346','1518975487','1'
'1052','Socket','46','1464484346','1518975487','1'
'1053','Storage compartment','46','1464484346','1518975487','1'
'1054','Spare tire-stowaway','135','1464484346','1518975299','1'
'1055','The Russian navigation system 08IT from the HDD drive','17','1464484347','1518975487','1'
'1056','The AVM system (4 camera view is projected 360 picture of the car on the monitor when Parking)','32','1464484348','1518975932','1'
'1057','Active cruise control','32','1464484348','1518975487','1'
'1058','Windshield wipers with automatic variable interval','1','1464484349','1518975487','1'
'1059','Handle open the trunk from the inside','1','1464484349','1518975487','1'
'1060','Seat adjustment for driver and front passenger in 8 directions','1','1464484349','1518975487','1'
'1061','Power adjustable front seats','1','1464484349','1518975300','1'
'1062','Power folding rear seats','1','1464484349','1518975487','1'
'1063','The holder for sunglasses driver''s side','1','1464484349','1518975487','1'
'1064','The ducts supplying warm air to the rear passengers feet','11','1464484349','1518975487','1'
'1065','Bose Sound System','17','1464484349','1518975487','1'
'1066','Multifunctional display','17','1464484349','1518975487','1'
'1067','Single key ignition and door locks','23','1464484349','1518975487','1'
'1068','Two modal front airbags','26','1464484349','1518975931','1'
'1069','3-point seat belts with ELR and ALR','26','1464484349','1518975487','1'
'1070','Collapsible pedal Assembly','26','1464484349','1518975300','1'
'1071','Dynamic stabilization system','32','1464484349','1518975487','1'
'1072','Overview camera on the perimeter of the car','32','1464484349','1518975487','1'
'1073','Gas shock absorbers','32','1464484349','1518975487','1'
'1074','The alarm is not closed the hood and tailgate','32','1464484349','1518975933','1'
'1075','Indication of maintenance intervals','32','1464484349','1518975487','1'
'1076','Scuff plates with illumination','38','1464484349','1518975487','1'
'1077','Windscreen with green shading','38','1464484349','1518975484','1'
'1078','Sun protection glazing','38','1464484349','1518975484','1'
'1079','Alloy wheels with tires','38','1464484349','1518975484','1'
'1080','Inner chrome handles opening the doors','46','1464484349','1518975484','1'
'1081','Leather upholstery front seats','46','1464484349','1518975484','1'
'1082','Fold-down center armrest in the rear seat with capacity for storage','46','1464484349','1518975484','1'
'1083','12V socket','46','1464484349','1518975484','1'
'1084','Extension cords, front sun visors','46','1464484349','1518975484','1'
'1085','The paddle switches gears from a magnesium alloy','1','1464484354','1518975300','1'
'1086','Function delay power off','1','1464484354','1518975484','1'
'1087','Adjusting the side mirrors','1','1464484354','1518975484','1'
'1088','Adjusting driver seat in 8 directions, the passenger in 6 directions','1','1464484354','1518975484','1'
'1089','The third-row seat, power folding 50/50','1','1464484354','1518975484','1'
'1090','The second-row seats, folding in the ratio of 60/40 split, sliding','1','1464484354','1518975484','1'
'1091','Pocket above the windscreen for storing glasses','1','1464484354','1518975484','1'
'1092','Brushes heated windshield','11','1464484354','1518975484','1'
'1093','Improved display trip computer Infiniti Intelligent View','17','1464484355','1518975484','1'
'1094','Russified trip computer','17','1464484355','1518975300','1'
'1095','Built-in front panel hard drive 2 GB','17','1464484355','1518975484','1'
'1096','Support WMA','17','1464484355','1518975486','1'
'1097','The Infiniti Controller','17','1464484355','1518975486','1'
'1098','Rear view monitor','17','1464484355','1518975487','1'
'1099','Front side airbags','26','1464484355','1518975487','1'
'1100','3 point seatbelts with ELR and ALR (driver – only ELR)','26','1464484355','1518975487','1'
'1101','Controller modes of transmission, engine and accelerator Infiniti Drive','32','1464484355','1518975487','1'
'1102','System air pressure in tires (TPMS) with pressure display in each wheel','32','1464484355','1518975487','1'
'1103','Sun visors with mirror and light (for driver and front passenger)','43','1464484355','1518975487','1'
'1104','The interior aluminum panels of lacquer ','46','1464484355','1518975931','1'
'1105','Upholstered in leather driver seat and front passenger','46','1464484355','1518975487','1'
'1106','The shift lever with braid genuine leather','46','1464484355','1518975487','1'
'1107','Catalytic exhaust purifier','135','1464484355','1518975487','1'
'1108','Driver seat with adjustable 2-way lumbar support','1','1464484356','1518975487','1'
'1109','Built-in front panel hard disk 10 GB','17','1464484356','1518975487','1'
'1110','Infiniti controller with 8" display','17','1464484356','1518975487','1'
'1111','12 speakers','17','1464484356','1518975487','1'
'1112','System of the circular review (AVM)','32','1464484356','1518975487','1'
'1113','Trim exclusive wood','46','1464484357','1518975487','1'
'1114','Remote control','1','1464484358','1518975487','1'
'1115','An advanced system of climate control, Plasma Cluster','11','1464484358','1518975487','1'
'1116','Ventilation front seats','11','1464484358','1518975487','1'
'1117','Air purifier Clean Air Vehicle (CAV)','11','1464484358','1518975487','1'
'1118','Ionizer','11','1464484358','1518975487','1'
'1119','Infotainment center Infiniti','17','1464484358','1518975487','1'
'1120','14 speakers','17','1464484358','1518975487','1'
'1121','Two sets of wireless infrared headphones','17','1464484358','1518975487','1'
'1122','DVD player in center console','17','1464484358','1518975488','1'
'1123','Mounted in the front headrests, two 7" color screen','17','1464484358','1518975488','1'
'1124','Transparent panoramic roof with sun-protective blind','38','1464484359','1518975645','1'
'1125','Alloy wheels 20"','38','1464484359','1518975488','1'
'1126','Summer tires 235/55R20','38','1464484359','1518975488','1'
'1127','Intelligent cruise control (ICC)','32','1464484360','1518975487','1'
'1128','System to prevent collision with the object in the "dead zone" Blind Spot Intervention (BSI)','32','1464484360','1518975488','1'
'1129','System prevent hitting obstacles when reversing','32','1464484360','1518975488','1'
'1130','System the collision warning Forward Collision Warning (FCW)','32','1464484360','1518975488','1'
'1131','Warning system about the presence of the object in the "dead zone"','32','1464484360','1518975488','1'
'1132','The distance','32','1464484360','1518975488','1'
'1133','Prevention system exit lanes Lane Departure Prevention (LDP)','32','1464484360','1518975488','1'
'1134','Eco - pedal','135','1464484360','1518975488','1'
'1135','Adjusting driver seat in 8 directions','1','1464484362','1518975488','1'
'1136','Adjust the driver''s seat in 6 directions','1','1464484362','1518975488','1'
'1137','The white arrows and the new screen trip computer','17','1464484362','1518975488','1'
'1138','System Super lock','23','1464484362','1518975488','1'
'1139','Sun visors driver and front passenger with cosmetic mirrors','46','1464484362','1518975488','1'
'1140','Hard disk 10 GB','17','1464484363','1518975488','1'
'1141','Seat belts with pre alarm function tension in emergency braking','26','1464484368','1518975931','1'
'1142','Intelligent emergency braking, Intelligent Brake Assist (IBA)','32','1464484368','1518975488','1'
'1143','System the collision warning','32','1464484368','1518975488','1'
'1144','The system of maintaining distance to the vehicle in front Distance Control Assist (DCA)','32','1464484368','1518975488','1'
'1145','Chip-key Intelligent key, push button ignition','1','1464484369','1518975488','1'
'1146','Continued for 45 seconds after stopping the engine power from the drive glass doors','1','1464484369','1518975488','1'
'1147','Key staff with lock-out trunk','1','1464484369','1518975488','1'
'1148','The electric drive of tailgate opening','1','1464484370','1518975488','1'
'1149','Upholstered seat for driver and front passenger, with manual adjustment and adjustable lumbar support','1','1464484370','1518975931','1'
'1150','Cruise control with steering wheel-mounted controls','1','1464484370','1518975488','1'
'1151','Automatic two zone climate control','11','1464484370','1518975931','1'
'1152','Heated windshield wipers in the area','11','1464484370','1518975488','1'
'1153','The front seats are heated (with the new button design)','11','1464484370','1518975488','1'
'1154','The vents in the rear centre console and air heater on the floor','11','1464484370','1518975488','1'
'1155','Outside temperature','11','1464484370','1518975488','1'
'1156','The radio bands AM/FM/CD, 6 speakers','17','1464484370','1518975488','1'
'1157','IPOD/USB + Bluetooth','17','1464484370','1518975488','1'
'1158','Dual touch display','17','1464484370','1518975488','1'
'1159','Infiniti alarm system with immobilizer with coded chip in the chip key','23','1464484370','1518975488','1'
'1160','Additional side air bag','26','1464484370','1518975488','1'
'1161','Installed in the ceiling interior extra inflatable curtain airbags','26','1464484370','1518975489','1'
'1162','Locking doors from accidental opening by children','26','1464484370','1518975489','1'
'1163','Mode opening only the driver''s door or all doors','26','1464484370','1518975300','1'
'1164','"Break" the propeller shaft helps to maintain the integrity of the passenger compartment in a serious collision','26','1464484370','1518975695','1'
'1165','Front and rear headrests for all passengers','26','1464484370','1518975489','1'
'1166','Two rear seat headrests','26','1464484370','1518975489','1'
'1167','3 point front seat belts with ELR/ALR','26','1464484370','1518975489','1'
'1168','3 point rear seat belts with ELR/ALR','26','1464484370','1518975489','1'
'1169','Sliding block pedals aktiviziruyutsya in the collision','26','1464484370','1518975932','1'
'1170','Traction control system (TCS)','32','1464484370','1518975489','1'
'1171','Help system at start on lifting HSA','32','1464484370','1518975489','1'
'1172','Controller switch Infiniti Drive Mode Selector','32','1464484370','1518975489','1'
'1173','Buzzer warnings about forgotten car keys','32','1464484370','1518975489','1'
'1174','7 speed automatic transmission with manual shift mode','32','1464484370','1518975489','1'
'1175','ASAP - the paint resists the small scratches','38','1464484370','1518975932','1'
'1176','Chrome decorative grille','38','1464484370','1518975489','1'
'1177','Two chrome exhaust tips','38','1464484370','1518975489','1'
'1178','Rear spoiler integrated into the trunk lid','38','1464484370','1518975489','1'
'1179','17" alloy wheels, summer tires 225/55R17','38','1464484370','1518975489','1'
'1180','Rear lights to LEDs and the reversing lamp (LED)','43','1464484370','1518975489','1'
'1181','Halogen headlamps','43','1464484370','1518975488','1'
'1182','Front fog lamps (LED)','43','1464484370','1518975488','1'
'1183','Led interior lighting front','43','1464484370','1518975488','1'
'1184','Trim with aluminium inserts','46','1464484370','1518975488','1'
'1185','5 local salon','46','1464484370','1518975488','1'
'1186','Anti-glare cabin rear view mirror','46','1464484370','1518975300','1'
'1187','Front armrest with capacity for storage and an electricity socket with voltage of 12V','46','1464484370','1518975488','1'
'1188','Fuel tank 80 liters','135','1464484370','1518975488','1'
'1189','Catalytic Converter exhaust gases Euro 4','135','1464484370','1518975488','1'
'1190','Leather upholstered seat for driver and front passenger, with manual adjustment and adjustable lumbar support','1','1464484371','1518975931','1'
'1191','The Keeper is on the two options adjustments driver seat position, steering column and exterior rear view mirrors','1','1464484372','1518975488','1'
'1192','Power folding exterior rear view mirrors with heating and timing','1','1464484372','1518975488','1'
'1193','The power driver''s seat and front passenger','1','1464484372','1518975488','1'
'1194','The Start&Stop System','1','1464484372','1518975488','1'
'1195','Memory settings, navigation and audio system with individual remote controls system “Intelligent key”','17','1464484372','1518975290','1'
'1196','Door locks','23','1464484372','1518975488','1'
'1197','The chip-key Intelligent key+non-contact open all doors','23','1464484372','1518975488','1'
'1198','The ISOFIX system (lower location of anchorages and tethers for child)','26','1464484372','1518975488','1'
'1199','3-point front and rear seat belts with ELR/ALR','26','1464484372','1518975488','1'
'1200','Sliding block pedals','26','1464484372','1518975488','1'
'1201','European specification and configure the suspension and engine + improved the quality of finishes and materials','32','1464484373','1518975488','1'
'1202','The use of the platform FM (Front Mid-ship) at which the engine is located behind the front axle','32','1464484373','1518975488','1'
'1203','Welcome Lightning system (intuitive illumination)','43','1464484373','1518975488','1'
'1204','Upholstery in natural leather "Stone"','46','1464484373','1518975488','1'
'1205','Upholstery in natural leather Graphite','46','1464484373','1518975488','1'
'1206','Interactive navigation of new generation In Touch + information about traffic RDS TMC','17','1464484373','1518975488','1'
'1207','Full-led front lighting (LED) with auto level headlamp','43','1464484374','1518975290','1'
'1208','The memory of the two variants of driver seat position, steering column and exterior rear view mirrors','1','1464484375','1518975488','1'
'1209','Dual folding exterior rearview mirror with electric actuator','1','1464484375','1518975488','1'
'1210','Adjustable lumbar support driver seat','1','1464484375','1518975488','1'
'1211','Adjustable lumbar support, front passenger seat','1','1464484375','1518975488','1'
'1212','Dual-zone climate control, Plasma Cluster with micro-filter and charcoal cabin filter','11','1464484375','1518975664','1'
'1213','European Infiniti alarm with volume sensor','23','1464484375','1518975488','1'
'1214','Parktronic front and rear','32','1464484375','1518975290','1'
'1215','Sport front bumper and sills','38','1464484375','1518975488','1'
'1216','18" alloy wheels, summer tires of the dimension 225/50R18','38','1464484375','1518975488','1'
'1217','Aluminum decorative trim Kacchu center console and instrument panel','46','1464484375','1518975488','1'
'1218','The rear seats folded in the ratio 40/60','46','1464484375','1518975488','1'
'1219','Dual-channel audio Hi-Fi Bose with HDD AM/FM and RDS 6CD changer in the center console MP3, WMA, steering wheel controls','17','1464484377','1518975488','1'
'1220','System for determining free space for Parking (PSM)','1','1464484378','1518975489','1'
'1221','The management system','32','1464484378','1518975489','1'
'1222','System to detect approaching objects (AOD)','32','1464484378','1518975489','1'
'1223','Interior trim and center console accents of natural wood','46','1464484379','1518975489','1'
'1224','Cabin rear view mirror with automatic anti-dazzle','46','1464484379','1518975290','1'
'1225','Adaptive electronic steering system STEER BY WIRE','1','1464484379','1518975489','1'
'1226','The system of controlling the movement and retention of the vehicle lane ACTIVE LANE CONTROL','32','1464484380','1518975489','1'
'1227','19" alloy wheels, summer tires of the dimension 245/40R19 Run Flat','38','1464484380','1518975489','1'
'1228','Sunroof with electric tilt and shift with the function of antidementia','38','1464484382','1518975290','1'
'1229','Active safety systems (Safety shield)','26','1464484443','1518975933','1'
'1230','System prevent hitting obstacles when driving in reverse, Backup Collision Intervention (BCI)','32','1464484443','1518975489','1'
'1231','The system will prevent a possible collision Forward Collision Avoidance (FCA)','32','1464484443','1518975489','1'
'1232','System prevent hitting obstacles when driving in reverse, Backup Collision Prevention (BCP)','32','1464484443','1518975489','1'
'1233','Warning system about the presence of the object in the "dead zone" Blind Spot Warning (BSW)','32','1464484443','1518975489','1'
'1234','Warning system exit lanes Lane Departure Warning (LDW)','32','1464484443','1518975489','1'
'1235','Dual folding exterior rear view mirrors with heater and electric actuator','1','1464484444','1518975489','1'
'1236','Upholstered in leather driver''s seat (adjustable in 8 directions electric adjustment and adjustable lumbar support)','1','1464484444','1518975645','1'
'1237','Upholstered in genuine leather the front passenger seat (with adjustable in 8 directions, and electric)','1','1464484444','1518975931','1'
'1238','European alarm with volume sensor','23','1464484444','1518975490','1'
